URLS
http://m.everydayhealth.com/longevity/future-planning/alternatives-to-health insurance
http://m.everydayhealth.com/brain-tumor/surgery-for-for brain-tumors
http://m.everydayhealth.com/parkinsons-disease/coping-with-a loved-ones-diagnosis
http://m.everydayhealth.com/breast-cancer/1017/less-frequent-mammograms-may-lower-false-positive results
http://m.everydayhealth.com/healthy-living/1026/national-drug take-back-day-scheduled-for-saturday
http://m.everydayhealth.com/kids-health/dr-mallikas-5-fast-facts-a-parents-guide to-unprotected-sexting
http://m.everydayhealth.com/rheumatoid arthritis/0213/pending-methotrexate-shortage-can-affect-thousands-of-patients
http://m.everydayhealth.com/erectile-dysfunction/0309/lawmakers-in-two-states-aim to-stiffen-rules-on-erectile-dysfunction-drugs
http://m.everydayhealth.com/multiple sclerosis/0315/warmer-temperatures-have-negative-effect-on-ms-patients-cognitive-function
http://m.everydayhealth.com/rheumatoid arthritis/how-rheumatoid-arthritis-affects-men
http://m.everydayhealth.com/emotional-health/0410/seniors-on-the-move-less-likely to-experience-psychological-problems
http://m.everydayhealth.com/emotional-health/0410/seniors-on-the-move-less-likely to-experience-psychological-problems
http://m.everydayhealth.com/kids-health/0711/mystery-illness-likely-not-only in-cambodia
http://m.everydayhealth.com/rheumatoid arthritis/ways-to-get-more-shut-eye-with-rheumatoid-arthritis
http://m.everydayhealth.com/kids-health/a deaf-toddler-hears-for-the-first-time
http://m.everydayhealth.com/diet-nutrition/obesity-issue-addressed-in-new-coca-cola ad-5686
http://m.everydayhealth.com/kids-health/progeria-hope for-children-whose-bodies-age-too-fast
http://m.everydayhealth.com/rheumatoid-arthritis/0401/diastolic-dysfunction-common-in-ra -5582
http://m.everydayhealth.com/mens-health/dr-lauren-streicher-answers-ten-questions-about -low-testosterone
http://m.everydayhealth.com/heart-health/0509/everyday-noise-levels-may-affect the-heart
